antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Q8'}),frozenset({'Q10'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q11'}),frozenset({'Q8'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q8'}),frozenset({'Q11'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q10'}),frozenset({'Q9'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q9'}),frozenset({'Q10'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q11'}),frozenset({'Q9'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q9'}),frozenset({'Q11'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q10'}),frozenset({'Q11'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q11'}),frozenset({'Q10'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q14'}),frozenset({'Q13'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q13'}),frozenset({'Q14'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q15'}),frozenset({'Q13'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q13'}),frozenset({'Q15'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q13'}),frozenset({'Q16'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q16'}),frozenset({'Q13'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q15'}),frozenset({'Q14'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q14'}),frozenset({'Q15'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q14'}),frozenset({'Q16'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q16'}),frozenset({'Q14'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q15'}),frozenset({'Q16'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q16'}),frozenset({'Q15'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q17'}),frozenset({'Q18'}),0.05,0.05,0.05,1.0,20.0,0.0475,inf,1.0
frozenset({'Q18'}),frozenset({'Q17'}),0.05,0.05,0.05,1.0,20.0,0.0475,inf,1.0
frozenset({'Q20'}),frozenset({'Q19'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q19'}),frozenset({'Q20'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q21'}),frozenset({'Q19'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q19'}),frozenset({'Q21'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q21'}),frozenset({'Q20'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q20'}),frozenset({'Q21'}),0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,30.0,0.03222222222222222,inf,1.0
frozenset({'Q23'}),frozenset({'Q22'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
